iqr_open: Opened wwv_5Mhz_g40_1234_48k.iqr
  Sample rate: 48000 Hz
  Center freq: 5000000 Hz
  Samples: 8644116
  Duration: 180.09 seconds
time,wwv,wwvh,wwv_thresh,wwvh_thresh
112.74998,0.058477,0.046668,0.111473,0.093210
112.75098,0.053943,0.043636,0.111473,0.093210
112.75198,0.056898,0.049335,0.111473,0.093210
112.75298,0.055179,0.047877,0.111473,0.093210
112.75398,0.058195,0.050955,0.111473,0.093210
112.75498,0.040240,0.032951,0.111473,0.093210
112.75598,0.057713,0.049084,0.111473,0.093210
112.75698,0.055536,0.049062,0.111473,0.093210
112.75798,0.047755,0.041274,0.111473,0.093210
112.75898,0.038489,0.031331,0.111473,0.093210
112.75998,0.045434,0.035883,0.111473,0.093210
112.76098,0.052273,0.046098,0.111473,0.093210
112.76198,0.054817,0.047414,0.111473,0.093210
112.76298,0.051013,0.042856,0.111473,0.093210
112.76398,0.043802,0.037025,0.111473,0.093210
112.76498,0.037453,0.028954,0.111473,0.093210
112.76598,0.047196,0.036346,0.111473,0.093210
112.76698,0.062619,0.052804,0.111473,0.093210
112.76798,0.047564,0.037593,0.111473,0.093210
112.76898,0.049440,0.044835,0.111473,0.093210
112.76998,0.048279,0.038001,0.111473,0.093210
112.77098,0.054864,0.050458,0.111473,0.093210
112.77198,0.039636,0.033700,0.111473,0.093210
112.77298,0.050833,0.043211,0.111473,0.093210
112.77398,0.049896,0.046280,0.111473,0.093210
112.77498,0.053065,0.042787,0.111473,0.093210
112.77598,0.046309,0.040365,0.111473,0.093210
112.77698,0.031927,0.028591,0.111473,0.093210
112.77798,0.054690,0.049571,0.111473,0.093210
112.77898,0.046020,0.041659,0.111473,0.093210
112.77998,0.043627,0.035206,0.111473,0.093210
112.78098,0.056148,0.053219,0.111473,0.093210
112.78198,0.051396,0.038623,0.111473,0.093210
112.78298,0.071997,0.056053,0.111473,0.093210
112.78398,0.062721,0.056904,0.111473,0.093210
112.78498,0.060390,0.040662,0.111473,0.093210
112.78598,0.075714,0.060861,0.111473,0.093210
112.78698,0.061771,0.049300,0.111473,0.093210
112.78798,0.065563,0.056916,0.111473,0.093210
112.78898,0.067286,0.060126,0.111473,0.093210
112.78998,0.050499,0.042723,0.111473,0.093210
112.79098,0.053900,0.044124,0.111473,0.093210
112.79198,0.047893,0.046982,0.111473,0.093210
112.79298,0.076711,0.060759,0.111473,0.093210
112.79398,0.063228,0.056643,0.111473,0.093210
112.79498,0.075174,0.065234,0.111473,0.093210
112.79598,0.054661,0.047072,0.111473,0.093210
112.79698,0.049023,0.037139,0.111473,0.093210
112.79798,0.060291,0.058057,0.111473,0.093210
112.79898,0.049875,0.037128,0.111473,0.093210
112.79998,0.061848,0.055382,0.111473,0.093210
112.80098,0.052201,0.039099,0.111473,0.093210
112.80198,0.074954,0.056723,0.111473,0.093210
112.80298,0.057388,0.047252,0.111473,0.093210
112.80398,0.075836,0.058890,0.111473,0.093210
112.80498,0.073580,0.062083,0.111473,0.093210
112.80598,0.047330,0.039835,0.111473,0.093210
112.80698,0.055703,0.050341,0.111473,0.093210
112.80798,0.050739,0.036434,0.111473,0.093210
112.80898,0.060333,0.053441,0.111473,0.093210
112.80998,0.057747,0.046745,0.111473,0.093210
112.81098,0.051811,0.044275,0.111473,0.093210
112.81198,0.035121,0.027912,0.111473,0.093210
112.81298,0.059679,0.049435,0.111473,0.093210
112.81398,0.063417,0.050600,0.111473,0.093210
112.81498,0.064225,0.051746,0.111473,0.093210
112.81598,0.059699,0.048804,0.111473,0.093210
112.81698,0.049697,0.041843,0.111473,0.093210
112.81798,0.052642,0.041534,0.111473,0.093210
112.81898,0.059480,0.051917,0.111473,0.093210
112.81998,0.065103,0.051230,0.111473,0.093210
112.82098,0.058108,0.045144,0.111473,0.093210
112.82198,0.047819,0.041267,0.111473,0.093210
112.82298,0.050709,0.041208,0.111473,0.093210
112.82398,0.050035,0.041065,0.111473,0.093210
112.82498,0.051150,0.041551,0.111473,0.093210
112.82598,0.064472,0.059064,0.111473,0.093210
112.82698,0.057255,0.045259,0.111473,0.093210
112.82798,0.058854,0.052109,0.111473,0.093210
112.82898,0.046591,0.039991,0.111473,0.093210
112.82998,0.045707,0.033045,0.111473,0.093210
112.83098,0.058324,0.050611,0.111473,0.093210
112.83198,0.057249,0.047722,0.111473,0.093210
112.83298,0.059198,0.048655,0.111473,0.093210
112.83398,0.054150,0.047138,0.111473,0.093210
112.83498,0.051073,0.042319,0.111473,0.093210
112.83598,0.063535,0.050289,0.111473,0.093210
112.83698,0.055702,0.047708,0.111473,0.093210
112.83798,0.059109,0.046605,0.111473,0.093210
112.83898,0.052831,0.042912,0.111473,0.093210
112.83998,0.055317,0.046620,0.111473,0.093210
112.84098,0.051710,0.042438,0.111473,0.093210
112.84198,0.058281,0.049175,0.111473,0.093210
112.84298,0.054000,0.042270,0.111473,0.093210
112.84398,0.060338,0.056219,0.111473,0.093210
112.84498,0.043121,0.035240,0.111473,0.093210
112.84598,0.054549,0.044738,0.111473,0.093210
112.84698,0.053767,0.046157,0.111473,0.093210
112.84798,0.056652,0.040955,0.111473,0.093210
112.84898,0.054345,0.045928,0.111473,0.093210
112.84998,0.055290,0.048965,0.111473,0.093210
112.85098,0.051052,0.038559,0.111473,0.093210
112.85198,0.048924,0.043502,0.111473,0.093210
112.85298,0.047018,0.040033,0.111473,0.093210
112.85398,0.036180,0.029992,0.111473,0.093210
112.85498,0.045777,0.041093,0.111473,0.093210
112.85598,0.063562,0.051329,0.111473,0.093210
112.85698,0.058091,0.046791,0.111473,0.093210
112.85798,0.053947,0.037130,0.111473,0.093210
112.85898,0.053616,0.047419,0.111473,0.093210
112.85998,0.050968,0.037561,0.111473,0.093210
112.86098,0.053502,0.045434,0.111473,0.093210
112.86198,0.059939,0.050666,0.111473,0.093210
112.86298,0.055143,0.047639,0.111473,0.093210
112.86398,0.045051,0.034256,0.111473,0.093210
112.86498,0.046531,0.041154,0.111473,0.093210
112.86598,0.048691,0.041768,0.111473,0.093210
112.86698,0.054803,0.047275,0.111473,0.093210
112.86798,0.061015,0.052855,0.111473,0.093210
112.86898,0.054416,0.048279,0.111473,0.093210
112.86998,0.050532,0.033483,0.111473,0.093210
112.87098,0.057455,0.050779,0.111473,0.093210
112.87198,0.050198,0.043013,0.111473,0.093210
112.87298,0.032001,0.025579,0.111473,0.093210
112.87398,0.050820,0.048341,0.111473,0.093210
112.87498,0.052939,0.047381,0.111473,0.093210
112.87598,0.055544,0.043404,0.111473,0.093210
112.87698,0.057928,0.052059,0.111473,0.093210
112.87798,0.054562,0.046633,0.111473,0.093210
112.87898,0.059542,0.048765,0.111473,0.093210
112.87998,0.048236,0.039774,0.111473,0.093210
112.88098,0.054227,0.046870,0.111473,0.093210
112.88198,0.035728,0.023255,0.111473,0.093210
112.88298,0.059483,0.046655,0.111473,0.093210
112.88398,0.049429,0.042688,0.111473,0.093210
112.88498,0.052044,0.043186,0.111473,0.093210
112.88598,0.056363,0.045143,0.111473,0.093210
112.88698,0.073192,0.057262,0.111473,0.093210
112.88798,0.056240,0.049431,0.111473,0.093210
112.88898,0.057606,0.048107,0.111473,0.093210
112.88998,0.051768,0.041377,0.111473,0.093210
112.89098,0.059892,0.050175,0.111473,0.093210
112.89198,0.037340,0.029595,0.111473,0.093210
112.89298,0.057946,0.047832,0.111473,0.093210
112.89398,0.062356,0.057093,0.111473,0.093210
112.89498,0.044624,0.037314,0.111473,0.093210
112.89598,0.051931,0.041061,0.111473,0.093210
112.89698,0.050595,0.046814,0.111473,0.093210
112.89798,0.048344,0.042662,0.111473,0.093210
112.89898,0.042248,0.032332,0.111473,0.093210
112.89998,0.049025,0.041009,0.111473,0.093210
112.90098,0.055838,0.051137,0.111473,0.093210
112.90198,0.049019,0.045401,0.111473,0.093210
112.90298,0.058873,0.047617,0.111473,0.093210
112.90398,0.064022,0.050742,0.111473,0.093210
112.90498,0.052964,0.045992,0.111473,0.093210
112.90598,0.065138,0.053140,0.111473,0.093210
112.90698,0.049218,0.039372,0.111473,0.093210
112.90798,0.053191,0.047934,0.111473,0.093210
112.90898,0.050201,0.038869,0.111473,0.093210
112.90998,0.055272,0.045575,0.111473,0.093210
112.91098,0.057614,0.046116,0.111473,0.093210
112.91198,0.050611,0.042669,0.111473,0.093210
112.91298,0.054728,0.052304,0.111473,0.093210
112.91398,0.054884,0.043766,0.111473,0.093210
112.91498,0.051478,0.041864,0.111473,0.093210
112.91598,0.047846,0.042931,0.111473,0.093210
112.91698,0.044482,0.037086,0.111473,0.093210
112.91798,0.054332,0.046338,0.111473,0.093210
112.91898,0.058819,0.048085,0.111473,0.093210
112.91998,0.058138,0.051479,0.111473,0.093210
112.92098,0.065485,0.056398,0.111473,0.093210
112.92198,0.056514,0.046080,0.111473,0.093210
112.92298,0.051728,0.043391,0.111473,0.093210
112.92398,0.053994,0.046471,0.111473,0.093210
112.92498,0.044795,0.037712,0.111473,0.093210
112.92598,0.055147,0.043402,0.111473,0.093210
112.92698,0.049040,0.043749,0.111473,0.093210
112.92798,0.053272,0.046300,0.111473,0.093210
112.92898,0.055426,0.047903,0.111473,0.093210
112.92998,0.060109,0.052587,0.111473,0.093210
112.93098,0.049866,0.044190,0.111473,0.093210
112.93198,0.051838,0.045933,0.111473,0.093210
112.93298,0.054315,0.043160,0.111473,0.093210
112.93398,0.052655,0.048861,0.111473,0.093210
112.93498,0.049542,0.036472,0.111473,0.093210
112.93598,0.049517,0.041401,0.111473,0.093210
112.93698,0.057198,0.047047,0.111473,0.093210
112.93798,0.062393,0.044162,0.111473,0.093210
112.93898,0.047046,0.040263,0.111473,0.093210
112.93998,0.057805,0.044396,0.111473,0.093210
112.94098,0.054160,0.044534,0.111473,0.093210
112.94198,0.046026,0.039197,0.111473,0.093210
112.94298,0.047666,0.038738,0.111473,0.093210
112.94398,0.057732,0.043133,0.111473,0.093210
112.94498,0.064893,0.053600,0.111473,0.093210
112.94598,0.063314,0.057761,0.111473,0.093210
112.94698,0.068816,0.055363,0.111473,0.093210
112.94798,0.057919,0.045979,0.111473,0.093210
112.94898,0.063185,0.054270,0.111473,0.093210
112.94998,0.063720,0.053672,0.111473,0.093210
112.95098,0.067707,0.055102,0.111473,0.093210
112.95198,0.050708,0.043524,0.111473,0.093210
112.95298,0.046440,0.035083,0.111473,0.093210
112.95398,0.060237,0.052386,0.111473,0.093210
112.95498,0.054646,0.046090,0.111473,0.093210
112.95598,0.058759,0.051745,0.111473,0.093210
112.95698,0.053412,0.045966,0.111473,0.093210
112.95798,0.052784,0.046997,0.111473,0.093210
112.95898,0.045144,0.037911,0.111473,0.093210
112.95998,0.045650,0.036722,0.111473,0.093210
112.96098,0.048665,0.042741,0.111473,0.093210
112.96198,0.059268,0.049813,0.111473,0.093210
112.96298,0.057075,0.048267,0.111473,0.093210
112.96398,0.034298,0.023415,0.111473,0.093210
112.96498,0.042212,0.032192,0.111473,0.093210
112.96598,0.050071,0.044393,0.111473,0.093210
112.96698,0.030695,0.026612,0.111473,0.093210
112.96798,0.048067,0.035782,0.111473,0.093210
112.96898,0.049975,0.045791,0.111473,0.093210
112.96998,0.041399,0.034337,0.111473,0.093210
112.97098,0.042863,0.035903,0.111473,0.093210
112.97198,0.051345,0.046663,0.111473,0.093210
112.97298,0.049082,0.038850,0.111473,0.093210
112.97398,0.049333,0.042233,0.111473,0.093210
112.97498,0.046199,0.042437,0.111473,0.093210
112.97598,0.036559,0.030541,0.111473,0.093210
112.97698,0.033319,0.032639,0.111473,0.093210
112.97798,0.059810,0.052077,0.111473,0.093210
112.97898,0.063552,0.051464,0.111473,0.093210
112.97998,0.048005,0.039199,0.111473,0.093210
112.98098,0.054003,0.049039,0.111473,0.093210
112.98198,0.050555,0.043162,0.111473,0.093210
112.98298,0.045599,0.038498,0.111473,0.093210
112.98398,0.053428,0.045366,0.111473,0.093210
112.98498,0.055313,0.045822,0.111473,0.093210
112.98598,0.060109,0.049297,0.111473,0.093210
112.98698,0.057170,0.049113,0.111473,0.093210
112.98798,0.058167,0.043165,0.111473,0.093210
112.98898,0.053053,0.048420,0.111473,0.093210
112.98998,0.055253,0.038444,0.111473,0.093210
112.99098,0.067810,0.062805,0.111473,0.093210
112.99198,0.055426,0.039363,0.111473,0.093210
112.99298,0.064943,0.055194,0.111473,0.093210
112.99398,0.037515,0.029682,0.111473,0.093210
112.99498,0.056624,0.051230,0.111473,0.093210
112.99598,0.055256,0.043262,0.111473,0.093210
112.99698,0.065664,0.056461,0.111473,0.093210
112.99798,0.052352,0.045314,0.111473,0.093210
112.99898,0.037179,0.030848,0.111473,0.093210
112.99998,0.052261,0.048330,0.111473,0.093210
113.00098,0.061849,0.045570,0.111473,0.093210
113.00198,0.051965,0.043995,0.111473,0.093210
113.00298,0.046484,0.037777,0.111473,0.093210
113.00398,0.060433,0.048276,0.111473,0.093210
113.00498,0.063578,0.052052,0.111473,0.093210
113.00598,0.065042,0.053299,0.111473,0.093210
113.00698,0.065107,0.053366,0.111473,0.093210
113.00798,0.058596,0.050726,0.111473,0.093210
113.00898,0.051985,0.043385,0.111473,0.093210
113.00998,0.056966,0.046617,0.111473,0.093210
113.01098,0.052950,0.046639,0.111473,0.093210
113.01198,0.052014,0.044132,0.111473,0.093210
113.01298,0.059823,0.047957,0.111473,0.093210
113.01398,0.059662,0.052599,0.111473,0.093210
113.01498,0.049027,0.040448,0.111473,0.093210
113.01598,0.049723,0.044442,0.111473,0.093210
113.01698,0.051334,0.044056,0.111473,0.093210
113.01798,0.049489,0.038517,0.111473,0.093210
113.01898,0.057709,0.052281,0.111473,0.093210
113.01998,0.052971,0.046890,0.111473,0.093210
113.02098,0.063564,0.051432,0.111473,0.093210
113.02198,0.066994,0.053632,0.111473,0.093210
113.02298,0.059867,0.049656,0.111473,0.093210
113.02398,0.061310,0.051389,0.111473,0.093210
113.02498,0.050960,0.038748,0.111473,0.093210
113.02598,0.063641,0.051639,0.111473,0.093210
113.02698,0.056196,0.046391,0.111473,0.093210
113.02798,0.060949,0.056514,0.111473,0.093210
113.02898,0.046935,0.037586,0.111473,0.093210
113.02998,0.055235,0.046846,0.111473,0.093210
113.03098,0.068145,0.056819,0.111473,0.093210
113.03198,0.072819,0.054141,0.111473,0.093210
113.03298,0.061700,0.054264,0.111473,0.093210
113.03398,0.069092,0.058336,0.111473,0.093210
113.03498,0.066451,0.053618,0.111473,0.093210
113.03598,0.057995,0.045974,0.111473,0.093210
113.03698,0.062048,0.049091,0.111473,0.093210
113.03798,0.064983,0.055969,0.111473,0.093210
113.03898,0.052729,0.042582,0.111473,0.093210
113.03998,0.053337,0.041796,0.111473,0.093210
113.04098,0.061472,0.050644,0.111473,0.093210
113.04198,0.065035,0.059109,0.111473,0.093210
113.04298,0.059450,0.045677,0.111473,0.093210
113.04398,0.058914,0.050469,0.111473,0.093210
113.04498,0.049289,0.040572,0.111473,0.093210
113.04598,0.057783,0.047356,0.111473,0.093210
113.04698,0.057728,0.051530,0.111473,0.093210
113.04798,0.060952,0.055627,0.111473,0.093210
113.04898,0.060097,0.054479,0.111473,0.093210
113.04998,0.052045,0.046689,0.111473,0.093210
113.05098,0.052598,0.036455,0.111473,0.093210
113.05198,0.049616,0.043342,0.111473,0.093210
113.05298,0.057316,0.045950,0.111473,0.093210
113.05398,0.057663,0.052195,0.111473,0.093210
113.05498,0.059585,0.045589,0.111473,0.093210
113.05598,0.058610,0.053826,0.111473,0.093210
113.05698,0.062903,0.053446,0.111473,0.093210
113.05798,0.063812,0.055645,0.111473,0.093210
113.05898,0.058262,0.051756,0.111473,0.093210
113.05998,0.044913,0.037279,0.111473,0.093210
113.06098,0.061009,0.052078,0.111473,0.093210
113.06198,0.055787,0.046233,0.111473,0.093210
113.06298,0.048562,0.039878,0.111473,0.093210
113.06398,0.058585,0.047577,0.111473,0.093210
113.06498,0.061866,0.047425,0.111473,0.093210
113.06598,0.061266,0.056008,0.111473,0.093210
113.06698,0.059215,0.045028,0.111473,0.093210
113.06798,0.067197,0.054523,0.111473,0.093210
113.06898,0.058316,0.051171,0.111473,0.093210
113.06998,0.044748,0.030556,0.111473,0.093210
113.07098,0.044334,0.038575,0.111473,0.093210
113.07198,0.064000,0.049538,0.111473,0.093210
113.07298,0.058536,0.052376,0.111473,0.093210
113.07398,0.056075,0.045689,0.111473,0.093210
113.07498,0.064825,0.050503,0.111473,0.093210
113.07598,0.054172,0.048556,0.111473,0.093210
113.07698,0.055267,0.044080,0.111473,0.093210
113.07798,0.055812,0.049154,0.111473,0.093210
113.07898,0.050302,0.038720,0.111473,0.093210
113.07998,0.051314,0.044476,0.111473,0.093210
113.08098,0.049392,0.044659,0.111473,0.093210
113.08198,0.050811,0.046761,0.111473,0.093210
113.08298,0.054040,0.048512,0.111473,0.093210
113.08398,0.058971,0.047785,0.111473,0.093210
113.08498,0.064044,0.046585,0.111473,0.093210
113.08598,0.052083,0.045892,0.111473,0.093210
